,,,,,,,Expert Ranks,,,,,,Passing,,,Rushing,,,Receiving,,
0,Travis Homer,PIT,RB,9,468,0,,,,,,,0,0,0,0,0,0,0,0,0
0,AJ Dillon,CAR,RB,5,469,0,,,,,,,0,0,0,0,0,0,0,0,0
0,Joey Slye,TEN,K,9,470,110,,,,,,,0,0,0,0,0,0,0,0,0
0,Kenny Pickett,CAR,QB,5,471,11,,,,,,,173.9,0.8,0.6,2.7,8.3,0.1,0,0,0
0,Jalen Royals,KC,WR,5,472,18,,,306,,,,0,0,0,0.7,3.1,0,7.5,95,0.7
0,Devontez Walker,BAL,WR,13,473,21,,,316,,,,0,0,0,0.7,3.3,0,8.2,105.5,0.9
0,Drew Ogletree,IND,TE,13,474,4,,,,,,,0,0,0,0,0,0,2.1,21.4,0.2
0,JaMycal Hasty,NE,RB,11,475,0,,,,,,,0,0,0,0,0,0,0,0,0
0,Tyler Huntley,BAL,QB,13,476,19,,,,,,,267.8,1.3,0.8,6.1,29.2,0.2,0,0,0
0,Jimmy Horn,CAR,WR,5,477,26,,,,,,,0,0,0,4,23.6,0.1,12.6,113.1,0.9
0,Jahdae Walker,CHI,WR,10,478,28,,,,,,,0,0,0,0,0,0,12,151.7,1.1
0,Clyde Edwards-Helaire,FA,RB,,479,0,,,,,,,0,0,0,0,0,0,0,0,0
0,Kyle Allen,BUF,QB,7,480,10,,,,,,,150.6,0.8,0.9,2,9.2,0.1,0,0,0
0,Jarrett Stidham,DEN,QB,10,481,12,,,,,,,208.8,1.2,0.9,0.1,0.5,0,0,0,0
0,Caleb Huntley,FA,RB,,482,0,,,,,,,0,0,0,0,0,0,0,0,0
0,Matt Gay,LV,K,13,483,108,,,,,,,0,0,0,0,0,0,0,0,0
0,Khalil Herbert,SF,RB,8,484,0,,,,,,,0,0,0,0,0,0,0,0,0
0,Spencer Rattler,NO,QB,8,485,15,,,,,,,247.4,1.3,0.9,0.9,5.9,0,0,0,0
0,CJ Daniels,LAR,WR,11,486,29,,,,,,,0,0,0,0.9,4.8,0,12.3,143.3,1.3
0,Nate Adkins,DEN,TE,10,487,4,,,,,,,0,0,0,0,0,0,2.2,19.4,0.2
0,Jerome Ford,FA,RB,,488,0,,,276,,269,,0,0,0,0,0,0,0,0,0
0,Stone Smartt,PHI,TE,10,489,3,,,,,,,0,0,0,0,0,0,1.5,12.2,0.1
0,Taylen Green,CLE,QB,11,490,7,,,,,,,78.7,0.4,0.3,3,14.2,0.1,0,0,0
0,Chris Manhertz,NYG,TE,8,491,4,,,,,,,0,0,0,0,0,0,2,18.3,0.2
0,Will Howard,PIT,QB,9,492,9,,,,,,,144.2,0.8,0.6,0.6,2.9,0,0,0,0
0,Pierre Strong,GB,RB,11,493,0,,,,,,,0,0,0,0,0,0,0,0,0
0,Ian Thomas,LV,TE,13,494,4,,,,,,,0,0,0,0,0,0,2,18.6,0.1
0,Eric Gray,NYG,RB,8,495,0,,,,,,,0,0,0,0,0,0,0,0,0
0,Trey Smack,GB,K,11,496,106,,,,,,,0,0,0,0,0,0,0,0,0
0,Justin Fields,KC,QB,5,497,9,,,,,,,91.3,0.6,0.3,3.9,22.2,0.2,0,0,0
0,Brenen Thompson,LAC,WR,7,498,16,,,245,,299,,0,0,0,0,0,0,7.3,84.7,0.7
0,Jase McClellan,FA,RB,,499,0,,,,,,,0,0,0,0,0,0,0,0,0
0,Harrison Bryant,FA,TE,,500,4,,,,,,,0,0,0,0,0,0,2,17.7,0.1
0,Tommy DeVito,NE,QB,11,501,11,,,,,,,182.7,1.1,0.7,0,0,0,0,0,0
0,Le'Veon Moss,MIA,RB,6,502,0,,,,,,,0,0,0,0,0,0,0,0,0
0,Tyler Conklin,DET,TE,6,503,3,,,,,,,0,0,0,0,0,0,1.8,18.8,0.1
0,Anthony Richardson,IND,QB,13,504,8,,,,,,,79.1,0.4,0.4,4,22,0.2,0,0,0
0,Joe Milton,DAL,QB,14,505,15,,,,,,,252.2,1.2,1,0.9,4.4,0,0,0,0
0,Theo Wease,MIA,WR,6,506,21,,,,,,,0,0,0,0,0,0,8.4,122.9,0.7
0,Corey Kiner,ARI,RB,14,507,0,,,,,,,0,0,0,0,0,0,0,0,0
0,Drew Allar,PIT,QB,9,508,8,,,,,,,139.7,0.7,0.6,0.6,3.2,0,0,0,0
0,Andre Szmyt,CLE,K,11,509,104,,,,,,,0,0,0,0,0,0,0,0,0
0,Bo Melton,GB,WR,11,510,17,,,307,,,,0,0,0,2,10.6,0.1,7.1,79.6,0.7
0,Tyler Lockett,FA,WR,,511,13,,,,,,,0,0,0,0,0,0,6.4,67.9,0.5
0,Dallin Holker,FA,TE,,512,2,,,,,,,0,0,0,0,0,0,1.8,15.8,0
0,Efton Chism,NE,WR,11,513,26,,,,,,,0,0,0,0.6,2.8,0,11.6,147.8,0.9
0,Noah Whittington,HOU,RB,8,514,0,,,,,,,0,0,0,0,0,0,0,0,0
0,Brett Norfleet,FA,TE,,515,2,,,,,,,0,0,0,0,0,0,1.8,14.9,0
0,Davis Mills,HOU,QB,8,516,15,,,,,,,227.9,1.4,0.7,1.3,4.6,0.1,0,0,0
0,Jalon Daniels,TB,QB,10,517,7,,,,,,,72.7,0.3,0.3,4.7,21.4,0.2,0,0,0
0,Jimmy Garoppolo,FA,QB,,518,12,,,,,,,218,1,1,0.9,4.1,0,0,0,0
0,Treylon Burks,WAS,WR,7,519,26,,,311,,,,0,0,0,2.3,10.7,0.1,11.9,123.9,1
0,Christian Kirk,SF,WR,8,520,17,243,,235,,234,265,0,0,0,0.5,2.3,0,7.7,94.5,0.5
0,Ben Yurosek,MIN,TE,6,521,3,,,,,,,0,0,0,0,0,0,1.6,13.3,0.1
0,Dominic Zvada,NYG,K,8,522,85,,,,,,,0,0,0,0,0,0,0,0,0
0,Nick Mullens,JAX,QB,7,523,10,,,,,,,174,1,1,0.8,3.7,0,0,0,0
0,Shamar Easter,FA,TE,,524,2,,,,,,,0,0,0,0,0,0,1.8,14.9,0
0,Shane Zylstra,BUF,TE,7,525,3,,,,,,,0,0,0,0,0,0,1.4,12.2,0.1
0,Garrett Nussmeier,KC,QB,5,526,4,,,,,,,73,0.4,0.3,0,0,0,0,0,0
0,Riley Leonard,IND,QB,13,527,6,,,,,,,66.5,0.3,0.3,2.4,11.2,0.2,0,0,0
0,Clayton Tune,FA,QB,,528,11,,,,,,,195,1,1,1,4.6,0,0,0,0
0,Kylen Granson,TEN,TE,9,529,2,,,,,,,0,0,0,0,0,0,1.1,12.1,0.1
0,Jake Browning,TB,QB,10,530,9,,,,,,,153.8,0.8,0.9,0.8,3.3,0,0,0,0
0,Teddy Bridgewater,DET,QB,6,531,14,,,,,,,222,1.3,0.8,0.9,4.1,0,0,0,0
0,Tai Felton,MIN,WR,6,532,22,,,315,,,,0,0,0,0.7,3.2,0,12.8,106.4,0.7
0,Eric Singleton,FA,WR,,533,20,,,,,,,0,0,0,0,0,0,9.5,112.7,0.7
0,Brevin Jordan,HOU,TE,8,534,2,,,,,,,0,0,0,0,0,0,1,9.2,0.1
0,Zane Gonzalez,FA,K,,535,66,,,,,,,0,0,0,0,0,0,0,0,0
0,Bryce Lance,NO,WR,8,536,21,,,314,,286,,0,0,0,0,0,0,9.9,108.8,0.8
0,Josh Cameron,JAX,WR,7,537,13,,,,,297,,0,0,0,2.9,13,0.1,5.5,61.1,0.4
0,Jameis Winston,NYG,QB,8,538,13,,,,,,,225.1,1.2,1,1,3.4,0,0,0,0
0,Curtis Samuel,FA,WR,,539,6,,,,,,,0,0,0,0.7,4.1,0,2.8,38.1,0.1
0,Cameron Latu,PHI,TE,10,540,2,,,,,,,0,0,0,0,0,0,0.9,8.5,0.1
0,Tyson Bagent,CHI,QB,10,541,8,,,,,,,129.8,0.6,0.6,2,7.1,0.1,0,0,0
0,Andy Dalton,PHI,QB,10,542,12,,,,,,,208.8,1.1,0.8,1,3.1,0,0,0,0
0,Carson Wentz,MIN,QB,6,543,3,,,,,,,40.1,0.2,0.2,0.9,4.2,0,0,0,0
0,Jack Velling,ATL,TE,11,544,1,,,,,,,0,0,0,0,0,0,0.4,3.5,0
0,Ty Simpson,LAR,QB,11,545,9,,,,,293,,147.2,0.9,0.7,0.3,1.5,0,0,0,0
0,Feleipe Franks,CAR,TE,5,546,1,,,,,,,0,0,0,0.8,3.2,0,0.3,2.9,0
0,Lewis Bond,HOU,WR,8,547,15,,,,,,,0,0,0,0.9,4.3,0,7.3,75.9,0.5
0,Daniel Carlson,NO,K,8,548,60,,,,,,,0,0,0,0,0,0,0,0,0
0,Jalen Milroe,SEA,QB,11,549,5,,,,,,,76.6,0.4,0.3,1,4,0,0,0,0
0,Tyrod Taylor,GB,QB,11,550,9,,,,,,,144,0.7,0.6,0.9,5.4,0,0,0,0
0,Robert Tonyan,PIT,TE,9,551,1,,,,,,,0,0,0,0,0,0,0.5,4.1,0
0,Joshua Dobbs,DET,QB,6,552,11,,,,,,,187.9,1,0.9,1,4.7,0,0,0,0
0,Dont'e Thornton,LV,WR,13,553,13,,,312,,,,0,0,0,0,0,0,6.7,55.6,0.6
0,Joshua Palmer,BUF,WR,7,554,14,,,317,,,,0,0,0,0,0,0,6.4,89.2,0.4
0,Ko Kieft,TB,TE,10,555,1,,,,,,,0,0,0,0,0,0,0.3,3.2,0
0,Eric McAlister,FA,WR,,556,17,,,,,,,0,0,0,0,0,0,7.4,88.4,0.7
0,Mason Rudolph,PIT,QB,9,557,8,,,,,,,137.3,0.8,0.7,0.9,2.9,0,0,0,0
0,Drew Lock,SEA,QB,11,558,8,,,,,,,122.5,0.7,0.6,0.4,1.8,0,0,0,0
0,Pharaoh Brown,IND,TE,13,559,0,,,,,,,0,0,0,0,0,0,0.3,2.4,0
0,Mitchell Trubisky,TEN,QB,9,560,11,,,,,,,184,0.9,0.8,0.9,2.7,0,0,0,0
0,Riley Patterson,MIA,K,6,561,56,,,,,,,0,0,0,0,0,0,0,0,0
0,Xavier Smith,LAR,WR,11,562,15,,,,,,,0,0,0,2,10.4,0.1,6.3,79.4,0.5
0,Nick Vannett,SEA,TE,11,563,0,,,,,,,0,0,0,0,0,0,0,0,0
0,Tanner McKee,PHI,QB,10,564,8,,,,,,,120.4,0.6,0.5,1.1,4.7,0,0,0,0
0,Johnny Mundt,PHI,TE,10,565,0,,,,,,,0,0,0,0,0,0,0,0,0
0,DeAndre Hopkins,FA,WR,,566,5,,,,,,,0,0,0,0,0,0,2.2,29.4,0.1
0,Kevin Austin,NO,WR,8,567,15,,,,,,,0,0,0,0.7,3.1,0,7.9,71.6,0.6
0,Jody Fortson,FA,TE,,568,0,,,,,,,0,0,0,0,0,0,0,0,0
0,Luke McCaffrey,WAS,WR,7,569,8,,,321,,,,0,0,0,0,0,0,4.1,46.3,0.3
0,Trey Lance,LAC,QB,7,570,7,,,,,,,101.9,0.5,0.5,1.6,7,0.1,0,0,0
0,Josiah Deguara,SF,TE,8,571,0,,,,,,,0,0,0,0,0,0,0,0,0
0,Diego Pavia,FA,QB,,572,4,,,,,,,71,0.4,0.3,0.3,1.2,0,0,0,0
0,Kenny Yeboah,FA,TE,,573,0,,,,,,,0,0,0,0,0,0,0,0,0
0,Ben Sauls,NYG,K,8,574,42,,,,,,,0,0,0,0,0,0,0,0,0
0,Jack Stoll,CLE,TE,11,575,0,,,,,,,0,0,0,0,0,0,0,0,0
0,Will Levis,TEN,QB,9,576,3,,,,,,,51.3,0.3,0.2,0.2,0.9,0,0,0,0
0,Marquez Valdes-Scantling,DAL,WR,14,577,11,,,,,,,0,0,0,0.7,3.2,0,4.1,58.1,0.4
0,Jelani Woods,NYJ,TE,13,578,0,,,,,,,0,0,0,0,0,0,0,0,0
0,Derek Carr,NO,QB,8,579,3,,,,,,,39.8,0.2,0.1,0.4,2,0,0,0,0
0,Will Mallory,IND,TE,13,580,0,,,,,,,0,0,0,0,0,0,0,0,0
0,Josh Johnson,CIN,QB,6,581,2,,,,,,,29.4,0.1,0.1,0.4,1.3,0,0,0,0
0,Julian Hill,NE,TE,11,582,0,,,,,,,0,0,0,0,0,0,0,0,0
0,Jordan Whittington,LAR,WR,11,583,10,,,320,,,,0,0,0,1.7,7.6,0.1,5,45,0.3
0,Cooper Rush,ATL,QB,11,584,0,,,,,,,0,0,0,0.9,0.3,0,0,0,0
0,Jake Briningstool,KC,TE,5,585,0,,,,,,,0,0,0,0,0,0,0,0,0
0,Brandon McManus,FA,K,,586,38,,,,,,,0,0,0,0,0,0,0,0,0
0,David Moore,CAR,WR,5,587,8,,,,,,,0,0,0,0,0,0,3.6,36.9,0.4
0,Easton Stick,IND,QB,13,588,0,,,,,,,0,0,0,0,0,0,0,0,0
0,Bryson Nesbit,MIN,TE,6,589,0,,,,,,,0,0,0,0,0,0,0,0,0
0,Zach Wilson,NO,QB,8,590,0,,,,,,,0,0,0,0,0,0,0,0,0
0,Devin Duvernay,ARI,WR,14,591,9,,,,,,,0,0,0,0.6,3,0,1.2,11.5,0.1
0,John Michael Gyllenborg,KC,TE,5,592,0,,,,,,,0,0,0,0,0,0,0,0,0
0,Odell Beckham,NYG,WR,8,593,4,,,,,,289,0,0,0,0,0,0,2,21.4,0.2
0,Kyle Trask,CAR,QB,5,594,0,,,,,,,0,0,0,0,0,0,0,0,0
0,Derius Davis,LAC,WR,7,595,9,,,,,,,0,0,0,2.2,10.2,0.1,0.8,6.9,0
0,Malachi Corley,CLE,WR,11,596,13,,,,,,,0,0,0,6.1,43,0.2,3.7,38,0.3
0,Miles Kitselman,FA,TE,,597,0,,,,,,,0,0,0,0,0,0,0,0,0
0,Sam Howell,DAL,QB,14,598,0,,,,,,,0,0,0,0,0,0,0,0,0
0,Jaren Kanak,TEN,TE,9,599,0,,,,,,,0,0,0,0,0,0,0,0,0
0,Matt Prater,FA,K,,600,30,,,,,,,0,0,0,0,0,0,0,0,0
0,Skylar Thompson,BAL,QB,13,601,0,,,,,,,0,0,0,0,0,0,0,0,0
0,Dallen Bentley,DEN,TE,10,602,0,,,,,,,0,0,0,0,0,0,0,0,0
0,Aidan O'Connell,LV,QB,13,603,0,,,,,,,0,0,0,0,0,0,0,0,0
0,Jermaine Burton,FA,WR,,604,10,,,,,,,0,0,0,0.5,2.7,0,3.6,51.3,0.5
0,Bauer Sharp,TB,TE,10,605,0,,,,,,,0,0,0,0,0,0,0,0,0
0,Cedric Tillman,CLE,WR,11,606,11,,,319,,,319,0,0,0,0,0,0,4.9,58.3,0.4
0,Stetson Bennett,LAR,QB,11,607,0,,,,,,,0,0,0,0,0,0,0,0,0
0,Carsen Ryan,CLE,TE,11,608,0,,,,,,,0,0,0,0,0,0,0,0,0
0,Hendon Hooker,TEN,QB,9,609,0,,,,,,,0,0,0,0,0,0,0,0,0
0,Lil'Jordan Humphrey,DEN,WR,10,610,11,,,,,,,0,0,0,0,0,0,5,53.8,0.5
0,Sam Hartman,WAS,QB,7,611,0,,,,,,,0,0,0,0,0,0,0,0,0
0,Brady Cook,NYJ,QB,13,612,0,,,,,,,0,0,0,0,0,0,0,0,0
0,Graham Gano,FA,K,,613,30,,,,,,,0,0,0,0,0,0,0,0,0
0,Justin Watson,HOU,WR,8,614,8,,,,,,,0,0,0,0,0,0,3.2,42.6,0.3
0,Kyle McCord,GB,QB,11,615,0,,,,,,,0,0,0,0,0,0,0,0,0
0,Max Brosmer,MIN,QB,6,616,0,,,,,,,0,0,0,0,0,0,0,0,0
0,Josh Reynolds,FA,WR,,617,3,,,,,,,0,0,0,0,0,0,1.4,17.3,0.1
0,Miller Moss,CHI,QB,10,618,0,,,,,,,0,0,0,0,0,0,0,0,0
0,Tim Patrick,NYJ,WR,13,619,9,,,,,,,0,0,0,0,0,0,4.2,48.3,0.4
0,Dee Eskridge,FA,WR,,620,3,,,,,,,0,0,0,0.5,2.7,0,1.5,17.9,0
0,Isaiah Hodgins,NYG,WR,8,621,6,,,,,,,0,0,0,0,0,0,3.2,31,0.3
0,Sawyer Robertson,FA,QB,,622,0,,,,,,,0,0,0,0,0,0,0,0,0
0,Behren Morton,NE,QB,11,623,0,,,,,,,0,0,0,0,0,0,0,0,0
0,Myles Price,MIN,WR,6,624,6,,,,,,,0,0,0,0,0,0,0,0,0
0,Luke Altmyer,DET,QB,6,625,0,,,,,,,0,0,0,0,0,0,0,0,0
0,Younghoe Koo,FA,K,,626,30,,,,,,,0,0,0,0,0,0,0,0,0
0,Cole Payton,PHI,QB,10,627,0,,,,,,,0,0,0,0,0,0,0,0,0
0,Tylan Wallace,CLE,WR,11,628,7,,,,,,,0,0,0,0,0,0,3.5,36.3,0.3
0,Athan Kaliakmanis,WAS,QB,7,629,0,,,,,,,0,0,0,0,0,0,0,0,0
0,Allen Lazard,FA,WR,,630,2,,,,,,,0,0,0,0,0,0,1.1,12.8,0
0,Darius Cooper,PHI,WR,10,631,6,,,,,,,0,0,0,0,0,0,3.5,30.4,0.3
0,Van Jefferson,WAS,WR,7,632,5,,,308,,,,0,0,0,0,0,0,2.6,31.5,0.2
0,Dareke Young,LV,WR,13,633,6,,,,,,,0,0,0,0,0,0,3,32.1,0.2
0,Xavier Restrepo,TEN,WR,9,634,5,,,,,,,0,0,0,0.4,1.8,0,2.4,26.7,0.2
0,Xavier Weaver,ARI,WR,14,635,5,,,,,,,0,0,0,0.4,1.8,0,2.3,25.9,0.2
0,James Proche,FA,WR,,636,1,,,,,,,0,0,0,0.2,1.4,0,0.4,5.4,0
0,Kameron Johnson,TB,WR,10,637,4,,,,,,,0,0,0,0.8,4,0,1.6,18.4,0.2
0,Dyami Brown,WAS,WR,7,638,5,,,322,,,,0,0,0,1.1,5.4,0,2.3,24.2,0.2
0,Michael Badgley,FA,K,,639,30,,,,,,,0,0,0,0,0,0,0,0,0
0,Reggie Virgil,ARI,WR,14,640,5,,,,,,,0,0,0,0,0,0,2.3,26.1,0.2
0,Tyrell Shavers,BUF,WR,7,641,4,,,,,,,0,0,0,0,0,0,1.7,20.7,0.1
0,Jalen Brooks,ARI,WR,14,642,5,,,,,,,0,0,0,0,0,0,2.2,24,0.2
0,Arian Smith,NYJ,WR,13,643,4,,,,,,,0,0,0,1.2,4.9,0,1.8,17.2,0.2
0,Steven Sims,FA,WR,,644,1,,,,,,,0,0,0,0,0,0,0.3,3.4,0
0,LaJohntay Wester,BAL,WR,13,645,4,,,,,,,0,0,0,1,4.4,0,1.3,15.6,0.1
0,Cody White,SEA,WR,11,646,4,,,,,,,0,0,0,0,0,0,1.9,23.5,0.1
0,Charlie Jones,CIN,WR,6,647,3,,,,,,,0,0,0,0.5,2.4,0,1.3,12,0.1
0,David Sills,TB,WR,10,648,3,,,,,,,0,0,0,0,0,0,1.3,14.4,0.1
0,Chris Moore,BAL,WR,13,649,3,,,,,,,0,0,0,0,0,0,1.6,20,0.1
0,Dane Key,DEN,WR,10,650,3,,,,,,,0,0,0,0,0,0,1.4,16.6,0.1
0,Trebor Pena,JAX,WR,7,651,3,,,,,,,0,0,0,0,0,0,1.5,15.2,0.1
0,Drew Stevens,WAS,K,7,652,30,,,,,,,0,0,0,0,0,0,0,0,0
0,Skyy Moore,GB,WR,11,653,3,,,,,,,0,0,0,1.2,6,0,1.1,12.4,0.1
0,Chase Roberts,LV,WR,13,654,3,,,,,,,0,0,0,0,0,0,1.3,14.7,0.1
0,Jaden Greathouse,FA,WR,,655,2,,,,,,,0,0,0,0,0,0,1.4,16.2,0
0,Tyler Johnson,DAL,WR,14,656,3,,,,,,,0,0,0,0,0,0,1.3,14.3,0.1
0,Dante Pettis,BUF,WR,7,657,2,,,,,,,0,0,0,0.3,1.3,0,0.7,8.5,0.1
0,Anthony Gould,IND,WR,13,658,2,,,,,,,0,0,0,0.5,2.5,0,1,9.6,0.1
0,Nikko Remigio,KC,WR,5,659,2,,,,,,,0,0,0,0.5,2.3,0,0.7,9.5,0.1
0,JuJu Smith-Schuster,FA,WR,,660,1,,,,,,,0,0,0,0,0,0,0.8,6.8,0
0,Jordan Watkins,SF,WR,8,661,0,,,,,,,0,0,0,0,0,0,0,0,0
0,DeAndre Carter,FA,WR,,662,1,,,,,,,0,0,0,0.9,5,0,0.5,7.7,0
0,Jayden Higgins,HOU,WR,8,663,0,,,,168,308,,0,0,0,0,0,0,0,0,0
0,Trent Sherfield,BUF,WR,7,664,1,,,,,,,0,0,0,0,0,0,0.7,6.8,0.1
0,Cade York,FA,K,,665,21,,,,,,,0,0,0,0,0,0,0,0,0
0,Tom Kennedy,DET,WR,6,666,2,,,,,,,0,0,0,0,0,0,0.8,9.2,0.1
0,Gage Larvadain,CLE,WR,11,667,1,,,,,,,0,0,0,0,0,0,0.6,6.3,0.1
0,Ricky White,SEA,WR,11,668,1,,,,,,,0,0,0,0,0,0,0.5,5.4,0
0,Britain Covey,PHI,WR,10,669,1,,,,,,,0,0,0,0,0,0,0.4,3.1,0
0,Jacob Cowing,SF,WR,8,670,0,,,,,,,0,0,0,0,0,0,0.1,1.7,0
0,Adam Thielen,MIN,WR,6,671,0,,,,,,,0,0,0,0,0,0,0,0,0
0,Amari Cooper,FA,WR,,672,0,,,,,,,0,0,0,0,0,0,0,0,0
0,Sterling Shepard,HOU,WR,8,673,0,,,,,,,0,0,0,0,0,0,0,0,0
0,Zay Jones,HOU,WR,8,674,0,,,,,,,0,0,0,0,0,0,0,0,0
0,Noah Brown,FA,WR,,675,0,,,,,,,0,0,0,0,0,0,0,0,0
0,Jamal Agnew,FA,WR,,676,0,,,,,,,0,0,0,0,0,0,0,0,0
0,Cedrick Wilson,DET,WR,6,677,0,,,,,,,0,0,0,0,0,0,0,0,0
0,Lenny Krieg,FA,K,,678,8,,,,,,,0,0,0,0,0,0,0,0,0
0,Diontae Johnson,FA,WR,,679,0,,,,,,,0,0,0,0,0,0,0,0,0
0,Parris Campbell,DAL,WR,14,680,0,,,,,,,0,0,0,0,0,0,0,0,0
0,Mecole Hardman,BUF,WR,7,681,0,,,,,,,0,0,0,0,0,0,0,0,0
0,Hunter Renfrow,FA,WR,,682,0,,,,,,,0,0,0,0,0,0,0,0,0
0,Scotty Miller,CHI,WR,10,683,0,,,,,,,0,0,0,0,0,0,0,0,0
0,Gunner Olszewski,NYG,WR,8,684,0,,,,,,,0,0,0,0,0,0,0,0,0
0,Gabe Davis,FA,WR,,685,0,,,,,,,0,0,0,0,0,0,0,0,0
0,Elijah Moore,PHI,WR,10,686,0,,,,,,,0,0,0,0,0,0,0,0,0
0,Avery Williams,FA,WR,,687,0,,,,,,,0,0,0,0,0,0,0,0,0
0,Ben Skowronek,PIT,WR,9,688,0,,,,,,,0,0,0,0,0,0,0,0,0
0,DJ Turner,FA,WR,,689,0,,,,,,,0,0,0,0,0,0,0,0,0
0,David Bell,FA,WR,,690,0,,,,,,,0,0,0,0,0,0,0,0,0
0,Will Ferrin,FA,K,,691,8,,,,,,,0,0,0,0,0,0,0,0,0
0,Jalin Hyatt,NYG,WR,8,692,0,,,,,,,0,0,0,0,0,0,0,0,0
0,Ronnie Bell,NO,WR,8,693,0,,,,,,,0,0,0,0,0,0,0,0,0
0,Jonathan Mingo,DAL,WR,14,694,0,,,,,,,0,0,0,0,0,0,0,0,0
0,Johnny Wilson,PHI,WR,10,695,0,,,,,,,0,0,0,0,0,0,0,0,0
0,Jake Bobo,SEA,WR,11,696,0,,,,,,,0,0,0,0,0,0,0,0,0
0,Jason Brownlee,KC,WR,5,697,0,,,,,,,0,0,0,0,0,0,0,0,0
0,Ja'Lynn Polk,NO,WR,8,698,0,,,,,,,0,0,0,0,0,0,0,0,0
0,Jamari Thrash,CLE,WR,11,699,0,,,,,,,0,0,0,0,0,0,0,0,0
0,Brenden Rice,FA,WR,,700,0,,,,,,,0,0,0,0,0,0,0,0,0
0,Ricky Pearsall,SF,WR,8,701,0,,,,,,,0,0,0,0,0,0,0,0,0
0,Bub Means,NO,WR,8,702,0,,,,,,,0,0,0,0,0,0,0,0,0
0,Ja'Corey Brooks,FA,WR,,703,0,,,,,,,0,0,0,0,0,0,0,0,0
0,Greg Zuerlein,FA,K,,704,0,,,,,,,0,0,0,0,0,0,0,0,0
0,Chris Brazzell,CAR,WR,5,705,0,,,,,,,0,0,0,0,0,0,0,0,0
0,Eric Rivers,TB,WR,10,706,0,,,,,,,0,0,0,0,0,0,0,0,0
0,Aaron Anderson,FA,WR,,707,0,,,,,,,0,0,0,0,0,0,0,0,0
0,Kaden Wetjen,PIT,WR,9,708,0,,,,,,,0,0,0,0,0,0,0,0,0
0,Anthony Smith,DAL,WR,14,709,0,,,,,,,0,0,0,0,0,0,0,0,0
0,Emmanuel Henderson,SEA,WR,11,710,0,,,,,,,0,0,0,0,0,0,0,0,0
0,Kendrick Law,DET,WR,6,711,0,,,,,,,0,0,0,0,0,0,0,0,0
0,Justin Tucker,FA,K,,712,0,,,,,,,0,0,0,0,0,0,0,0,0
0,Greg Joseph,FA,K,,713,0,,,,,,,0,0,0,0,0,0,0,0,0
0,Austin Seibert,FA,K,,714,0,,,,,,,0,0,0,0,0,0,0,0,0
0,Matthew Wright,FA,K,,715,0,,,,,,,0,0,0,0,0,0,0,0,0
0,Parker Romo,FA,K,,716,0,,,,,,,0,0,0,0,0,0,0,0,0
0,Anders Carlson,FA,K,,717,0,,,,,,,0,0,0,0,0,0,0,0,0
0,Joshua Karty,FA,K,,718,0,,,,,,,0,0,0,0,0,0,0,0,0
0,Spencer Shrader,IND,K,13,719,0,,,,,,,0,0,0,0,0,0,0,0,0
0,Brayden Narveson,FA,K,,720,0,,,,,,,0,0,0,0,0,0,0,0,0
0,Caden Davis,FA,K,,721,0,,,,,,,0,0,0,0,0,0,0,0,0
